raw_facet,normalized_facet,facet_type,conversation_observable,sensitivity,scoring_definition,score_1_anchor,score_2_anchor,score_3_anchor,score_4_anchor,score_5_anchor,abstention_reason,data_quality_flag
Estimating Calculations,Estimating Calculations,conversation_observable,True,low,"Measures the degree of estimating calculations demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of estimating calculations.,Slight evidence of estimating calculations; brief or weak signals.,Moderate estimating calculations; clear but not dominant evidence.,Strong estimating calculations; multiple clear indicators.,Very strong estimating calculations; pervasive and compelling evidence.,,
Depression: Feelings of sadness and hopelessness,Depression: Feelings of Sadness and Hopelessness,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Clinical depression assessment requires professional diagnosis.,
Synthesis of information,Synthesis of Information,conversation_observable,True,low,"Measures the degree of synthesis of information demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of synthesis of information.,Slight evidence of synthesis of information; brief or weak signals.,Moderate synthesis of information; clear but not dominant evidence.,Strong synthesis of information; multiple clear indicators.,Very strong synthesis of information; pervasive and compelling evidence.,,
Leadership Potential:,Leadership Potential,conversation_observable,True,low,"Measures the degree of leadership potential demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of leadership potential.,Slight evidence of leadership potential; brief or weak signals.,Moderate leadership potential; clear but not dominant evidence.,Strong leadership potential; multiple clear indicators.,Very strong leadership potential; pervasive and compelling evidence.,,trailing_colon
Ethical standards,Ethical Standards,conversation_observable,True,low,"Measures the degree of ethical standards demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of ethical standards.,Slight evidence of ethical standards; brief or weak signals.,Moderate ethical standards; clear but not dominant evidence.,Strong ethical standards; multiple clear indicators.,Very strong ethical standards; pervasive and compelling evidence.,,
High-spiritedness,High-spiritedness,conversation_observable,True,low,"Measures the degree of high-spiritedness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of high-spiritedness.,Slight evidence of high-spiritedness; brief or weak signals.,Moderate high-spiritedness; clear but not dominant evidence.,Strong high-spiritedness; multiple clear indicators.,Very strong high-spiritedness; pervasive and compelling evidence.,,
Critical reasoning,Critical Reasoning,conversation_observable,True,low,"Measures the degree of critical reasoning demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of critical reasoning.,Slight evidence of critical reasoning; brief or weak signals.,Moderate critical reasoning; clear but not dominant evidence.,Strong critical reasoning; multiple clear indicators.,Very strong critical reasoning; pervasive and compelling evidence.,,
Sleep-disorder diagnosis,Sleep-disorder Diagnosis,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Listening Skills Subcomponents:,Listening Skills Subcomponents,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
Collaboration,Collaboration,conversation_observable,True,low,"Measures the degree of collaboration demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of collaboration.,Slight evidence of collaboration; brief or weak signals.,Moderate collaboration; clear but not dominant evidence.,Strong collaboration; multiple clear indicators.,Very strong collaboration; pervasive and compelling evidence.,,
Precision of Movements,Precision of Movements,conversation_observable,True,low,"Measures the degree of precision of movements demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of precision of movements.,Slight evidence of precision of movements; brief or weak signals.,Moderate precision of movements; clear but not dominant evidence.,Strong precision of movements; multiple clear indicators.,Very strong precision of movements; pervasive and compelling evidence.,,
Social Boldness,Social Boldness,conversation_observable,True,low,"Measures the degree of social boldness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of social boldness.,Slight evidence of social boldness; brief or weak signals.,Moderate social boldness; clear but not dominant evidence.,Strong social boldness; multiple clear indicators.,Very strong social boldness; pervasive and compelling evidence.,,
Auditory memory,Auditory Memory,conversation_observable,True,low,"Measures the degree of auditory memory demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of auditory memory.,Slight evidence of auditory memory; brief or weak signals.,Moderate auditory memory; clear but not dominant evidence.,Strong auditory memory; multiple clear indicators.,Very strong auditory memory; pervasive and compelling evidence.,,
Psychomotor Ability Subcomponents:,Psychomotor Ability Subcomponents,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
Organized lifestyle,Organized Lifestyle,conversation_observable,True,low,"Measures the degree of organized lifestyle demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of organized lifestyle.,Slight evidence of organized lifestyle; brief or weak signals.,Moderate organized lifestyle; clear but not dominant evidence.,Strong organized lifestyle; multiple clear indicators.,Very strong organized lifestyle; pervasive and compelling evidence.,,
Skill-endorsements count,Skill-endorsements Count,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
Mysteriousness,Mysteriousness,conversation_observable,True,low,"Measures the degree of mysteriousness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of mysteriousness.,Slight evidence of mysteriousness; brief or weak signals.,Moderate mysteriousness; clear but not dominant evidence.,Strong mysteriousness; multiple clear indicators.,Very strong mysteriousness; pervasive and compelling evidence.,,
Cultural Identity,Cultural Identity,conversation_observable,True,low,"Measures the degree of cultural identity demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of cultural identity.,Slight evidence of cultural identity; brief or weak signals.,Moderate cultural identity; clear but not dominant evidence.,Strong cultural identity; multiple clear indicators.,Very strong cultural identity; pervasive and compelling evidence.,,
Intrinsic Motivation,Intrinsic Motivation,conversation_observable,True,low,"Measures the degree of intrinsic motivation demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of intrinsic motivation.,Slight evidence of intrinsic motivation; brief or weak signals.,Moderate intrinsic motivation; clear but not dominant evidence.,Strong intrinsic motivation; multiple clear indicators.,Very strong intrinsic motivation; pervasive and compelling evidence.,,
Impartial-mindedness,Impartial-mindedness,conversation_observable,True,low,"Measures the degree of impartial-mindedness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of impartial-mindedness.,Slight evidence of impartial-mindedness; brief or weak signals.,Moderate impartial-mindedness; clear but not dominant evidence.,Strong impartial-mindedness; multiple clear indicators.,Very strong impartial-mindedness; pervasive and compelling evidence.,,
Burnout Symptoms,Burnout Symptoms,conversation_observable,True,low,"Measures the degree of burnout symptoms demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of burnout symptoms.,Slight evidence of burnout symptoms; brief or weak signals.,Moderate burnout symptoms; clear but not dominant evidence.,Strong burnout symptoms; multiple clear indicators.,Very strong burnout symptoms; pervasive and compelling evidence.,,
Holiness,Holiness,conversation_observable,True,low,"Measures the degree of holiness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of holiness.,Slight evidence of holiness; brief or weak signals.,Moderate holiness; clear but not dominant evidence.,Strong holiness; multiple clear indicators.,Very strong holiness; pervasive and compelling evidence.,,
Selfcontrol,Selfcontrol,conversation_observable,True,low,"Measures the degree of selfcontrol demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of selfcontrol.,Slight evidence of selfcontrol; brief or weak signals.,Moderate selfcontrol; clear but not dominant evidence.,Strong selfcontrol; multiple clear indicators.,Very strong selfcontrol; pervasive and compelling evidence.,,
SelfDirectedness,Self Directedness,conversation_observable,True,low,"Measures the degree of self directedness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of self directedness.,Slight evidence of self directedness; brief or weak signals.,Moderate self directedness; clear but not dominant evidence.,Strong self directedness; multiple clear indicators.,Very strong self directedness; pervasive and compelling evidence.,,camelcase_compound
Encouraging participation,Encouraging Participation,conversation_observable,True,low,"Measures the degree of encouraging participation demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of encouraging participation.,Slight evidence of encouraging participation; brief or weak signals.,Moderate encouraging participation; clear but not dominant evidence.,Strong encouraging participation; multiple clear indicators.,Very strong encouraging participation; pervasive and compelling evidence.,,
Impracticalness,Impracticalness,conversation_observable,True,low,"Measures the degree of impracticalness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of impracticalness in the conversation.,Minimal/isolated signs of impracticalness.,Moderate impracticalness apparent in several statements.,Clear and repeated impracticalness throughout.,Pervasive impracticalness dominating the conversation.,,
Meeting Deadlines,Meeting Deadlines,conversation_observable,True,low,"Measures the degree of meeting deadlines demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of meeting deadlines.,Slight evidence of meeting deadlines; brief or weak signals.,Moderate meeting deadlines; clear but not dominant evidence.,Strong meeting deadlines; multiple clear indicators.,Very strong meeting deadlines; pervasive and compelling evidence.,,
Data Analysis,Data Analysis,conversation_observable,True,low,"Measures the degree of data analysis demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of data analysis.,Slight evidence of data analysis; brief or weak signals.,Moderate data analysis; clear but not dominant evidence.,Strong data analysis; multiple clear indicators.,Very strong data analysis; pervasive and compelling evidence.,,
Social Interaction Skills,Social Interaction Skills,conversation_observable,True,low,"Measures the degree of social interaction skills demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of social interaction skills.,Slight evidence of social interaction skills; brief or weak signals.,Moderate social interaction skills; clear but not dominant evidence.,Strong social interaction skills; multiple clear indicators.,Very strong social interaction skills; pervasive and compelling evidence.,,
Psychoticism,Psychoticism,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Ethical leadership rating,Ethical Leadership Rating,conversation_observable,True,low,"Measures the degree of ethical leadership rating demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of ethical leadership rating.,Slight evidence of ethical leadership rating; brief or weak signals.,Moderate ethical leadership rating; clear but not dominant evidence.,Strong ethical leadership rating; multiple clear indicators.,Very strong ethical leadership rating; pervasive and compelling evidence.,,
Slothfulness,Slothfulness,conversation_observable,True,low,"Measures the degree of slothfulness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of slothfulness in the conversation.,Minimal/isolated signs of slothfulness.,Moderate slothfulness apparent in several statements.,Clear and repeated slothfulness throughout.,Pervasive slothfulness dominating the conversation.,,
Happiness,Happiness,conversation_observable,True,low,"Measures the degree of happiness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of happiness.,Slight evidence of happiness; brief or weak signals.,Moderate happiness; clear but not dominant evidence.,Strong happiness; multiple clear indicators.,Very strong happiness; pervasive and compelling evidence.,,
Contentment Levels,Contentment Levels,conversation_observable,True,low,"Measures the degree of contentment levels demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of contentment levels.,Slight evidence of contentment levels; brief or weak signals.,Moderate contentment levels; clear but not dominant evidence.,Strong contentment levels; multiple clear indicators.,Very strong contentment levels; pervasive and compelling evidence.,,
Neuroticism,Neuroticism,conversation_observable,True,low,"Measures the degree of neuroticism demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of neuroticism.,Slight evidence of neuroticism; brief or weak signals.,Moderate neuroticism; clear but not dominant evidence.,Strong neuroticism; multiple clear indicators.,Very strong neuroticism; pervasive and compelling evidence.,,
Desire for excellence,Desire for Excellence,conversation_observable,True,low,"Measures the degree of desire for excellence demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of desire for excellence.,Slight evidence of desire for excellence; brief or weak signals.,Moderate desire for excellence; clear but not dominant evidence.,Strong desire for excellence; multiple clear indicators.,Very strong desire for excellence; pervasive and compelling evidence.,,
Perceiving,Perceiving,conversation_observable,True,low,"Measures the degree of perceiving demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of perceiving.,Slight evidence of perceiving; brief or weak signals.,Moderate perceiving; clear but not dominant evidence.,Strong perceiving; multiple clear indicators.,Very strong perceiving; pervasive and compelling evidence.,,
Liberalism,Liberalism,conversation_observable,True,low,"Measures the degree of liberalism demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of liberalism.,Slight evidence of liberalism; brief or weak signals.,Moderate liberalism; clear but not dominant evidence.,Strong liberalism; multiple clear indicators.,Very strong liberalism; pervasive and compelling evidence.,,
Inversion comfort level,Inversion Comfort Level,conversation_observable,True,low,"Measures the degree of inversion comfort level demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of inversion comfort level.,Slight evidence of inversion comfort level; brief or weak signals.,Moderate inversion comfort level; clear but not dominant evidence.,Strong inversion comfort level; multiple clear indicators.,Very strong inversion comfort level; pervasive and compelling evidence.,,
Affection,Affection,conversation_observable,True,low,"Measures the degree of affection demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of affection.,Slight evidence of affection; brief or weak signals.,Moderate affection; clear but not dominant evidence.,Strong affection; multiple clear indicators.,Very strong affection; pervasive and compelling evidence.,,
Numeric Filing Skills,Numeric Filing Skills,conversation_observable,True,low,"Measures the degree of numeric filing skills demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of numeric filing skills.,Slight evidence of numeric filing skills; brief or weak signals.,Moderate numeric filing skills; clear but not dominant evidence.,Strong numeric filing skills; multiple clear indicators.,Very strong numeric filing skills; pervasive and compelling evidence.,,
Martyrdom,Martyrdom,conversation_observable,True,low,"Measures the degree of martyrdom demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of martyrdom.,Slight evidence of martyrdom; brief or weak signals.,Moderate martyrdom; clear but not dominant evidence.,Strong martyrdom; multiple clear indicators.,Very strong martyrdom; pervasive and compelling evidence.,,
Parathyroid-hormone level,Parathyroid-hormone Level,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Seeking approval,Seeking Approval,conversation_observable,True,low,"Measures the degree of seeking approval demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of seeking approval.,Slight evidence of seeking approval; brief or weak signals.,Moderate seeking approval; clear but not dominant evidence.,Strong seeking approval; multiple clear indicators.,Very strong seeking approval; pervasive and compelling evidence.,,
Judging (J):,Judging (J),conversation_observable,True,low,"Measures the degree of judging (j) demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of judging (j).,Slight evidence of judging (j); brief or weak signals.,Moderate judging (j); clear but not dominant evidence.,Strong judging (j); multiple clear indicators.,Very strong judging (j); pervasive and compelling evidence.,,trailing_colon
Big Five facet Openness – Artistic Interests,Big Five Facet Openness – Artistic Interests,ambiguous,False,medium,Not directly scoreable from conversation (ambiguous).,,,,,,Named psychometric facet requires validated instrument for precise scoring.,
Psychological construct: Operant-Learning rate,Psychological Construct: Operant-learning Rate,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Psychological construct: Need for Achievement level,Psychological Construct: Need for Achievement Level,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Cantankerousness,Cantankerousness,conversation_observable,True,low,"Measures the degree of cantankerousness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of cantankerousness in the conversation.,Minimal/isolated signs of cantankerousness.,Moderate cantankerousness apparent in several statements.,Clear and repeated cantankerousness throughout.,Pervasive cantankerousness dominating the conversation.,,
Material properties knowledge,Material Properties Knowledge,conversation_observable,True,low,"Measures the degree of material properties knowledge demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of material properties knowledge.,Slight evidence of material properties knowledge; brief or weak signals.,Moderate material properties knowledge; clear but not dominant evidence.,Strong material properties knowledge; multiple clear indicators.,Very strong material properties knowledge; pervasive and compelling evidence.,,
Hostility,Hostility,conversation_observable,True,low,"Measures the degree of hostility demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of hostility in the conversation.,Minimal/isolated signs of hostility.,Moderate hostility apparent in several statements.,Clear and repeated hostility throughout.,Pervasive hostility dominating the conversation.,,
Independence,Independence,conversation_observable,True,low,"Measures the degree of independence demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of independence.,Slight evidence of independence; brief or weak signals.,Moderate independence; clear but not dominant evidence.,Strong independence; multiple clear indicators.,Very strong independence; pervasive and compelling evidence.,,
800. Sufi practice: Sufi retreat attendance count,Sufi Practice: Sufi Retreat Attendance Count,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Chromatin-accessibility score,Chromatin-accessibility Score,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
644. Spiritual virtue: Humility practice index,Spiritual Virtue: Humility Practice Index,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
754. I Ching hexagram 36 resonance level,I Ching Hexagram 36 Resonance Level,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Esoteric/spiritual metric requires external measurement.,numbered_prefix
Well-being component: Engagement,Well-being Component: Engagement,ambiguous,False,medium,Not directly scoreable from conversation (ambiguous).,,,,,,Composite psychological measure; partial signals may appear in conversation but safe scoring requires validated tools.,
Need for social interaction,Need for Social Interaction,conversation_observable,True,low,"Measures the degree of need for social interaction demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of need for social interaction.,Slight evidence of need for social interaction; brief or weak signals.,Moderate need for social interaction; clear but not dominant evidence.,Strong need for social interaction; multiple clear indicators.,Very strong need for social interaction; pervasive and compelling evidence.,,
Peer-collaboration hours,Peer-collaboration Hours,conversation_observable,True,low,"Measures the degree of peer-collaboration hours demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of peer-collaboration hours.,Slight evidence of peer-collaboration hours; brief or weak signals.,Moderate peer-collaboration hours; clear but not dominant evidence.,Strong peer-collaboration hours; multiple clear indicators.,Very strong peer-collaboration hours; pervasive and compelling evidence.,,
Arts and Humanities,Arts and Humanities,conversation_observable,True,low,"Measures the degree of arts and humanities demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of arts and humanities.,Slight evidence of arts and humanities; brief or weak signals.,Moderate arts and humanities; clear but not dominant evidence.,Strong arts and humanities; multiple clear indicators.,Very strong arts and humanities; pervasive and compelling evidence.,,
596. Religious practice: Quran khatam cycles per year,Religious Practice: Quran Khatam Cycles Per Year,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
926. Bahá’í spiritual metric: Ridván festival participation,Bahá’í Spiritual Metric: Ridván Festival Participation,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Compassion,Compassion,conversation_observable,True,low,"Measures the degree of compassion demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of compassion.,Slight evidence of compassion; brief or weak signals.,Moderate compassion; clear but not dominant evidence.,Strong compassion; multiple clear indicators.,Very strong compassion; pervasive and compelling evidence.,,
Information Retention,Information Retention,conversation_observable,True,low,"Measures the degree of information retention demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of information retention.,Slight evidence of information retention; brief or weak signals.,Moderate information retention; clear but not dominant evidence.,Strong information retention; multiple clear indicators.,Very strong information retention; pervasive and compelling evidence.,,
Eye-contact duration,Eye-contact Duration,conversation_observable,True,low,"Measures the degree of eye-contact duration demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of eye-contact duration.,Slight evidence of eye-contact duration; brief or weak signals.,Moderate eye-contact duration; clear but not dominant evidence.,Strong eye-contact duration; multiple clear indicators.,Very strong eye-contact duration; pervasive and compelling evidence.,,
Self-righteousness,Self-righteousness,conversation_observable,True,low,"Measures the degree of self-righteousness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of self-righteousness.,Slight evidence of self-righteousness; brief or weak signals.,Moderate self-righteousness; clear but not dominant evidence.,Strong self-righteousness; multiple clear indicators.,Very strong self-righteousness; pervasive and compelling evidence.,,
General Mood and Attitude,General Mood and Attitude,conversation_observable,True,low,"Measures the degree of general mood and attitude demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of general mood and attitude.,Slight evidence of general mood and attitude; brief or weak signals.,Moderate general mood and attitude; clear but not dominant evidence.,Strong general mood and attitude; multiple clear indicators.,Very strong general mood and attitude; pervasive and compelling evidence.,,
Serotonin transporter availability,Serotonin Transporter Availability,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Contribution to Group Goals,Contribution to Group Goals,conversation_observable,True,low,"Measures the degree of contribution to group goals demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of contribution to group goals.,Slight evidence of contribution to group goals; brief or weak signals.,Moderate contribution to group goals; clear but not dominant evidence.,Strong contribution to group goals; multiple clear indicators.,Very strong contribution to group goals; pervasive and compelling evidence.,,
Dignity,Dignity,conversation_observable,True,low,"Measures the degree of dignity demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of dignity.,Slight evidence of dignity; brief or weak signals.,Moderate dignity; clear but not dominant evidence.,Strong dignity; multiple clear indicators.,Very strong dignity; pervasive and compelling evidence.,,
HEXACO Personality Inventory Facets:,Hexaco Personality Inventory Facets,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
Evaluating Solutions,Evaluating Solutions,conversation_observable,True,low,"Measures the degree of evaluating solutions demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of evaluating solutions.,Slight evidence of evaluating solutions; brief or weak signals.,Moderate evaluating solutions; clear but not dominant evidence.,Strong evaluating solutions; multiple clear indicators.,Very strong evaluating solutions; pervasive and compelling evidence.,,
Input,Input,conversation_observable,True,low,"Measures the degree of input demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of input.,Slight evidence of input; brief or weak signals.,Moderate input; clear but not dominant evidence.,Strong input; multiple clear indicators.,Very strong input; pervasive and compelling evidence.,,
Discreteness,Discreteness,conversation_observable,True,low,"Measures the degree of discreteness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of discreteness.,Slight evidence of discreteness; brief or weak signals.,Moderate discreteness; clear but not dominant evidence.,Strong discreteness; multiple clear indicators.,Very strong discreteness; pervasive and compelling evidence.,,
607. Energy-healing practice: Reiki sessions / year,Energy-healing Practice: Reiki Sessions / Year,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
692. Astrology: Rising sign is Scorpio,Astrology: Rising Sign Is Scorpio,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Esoteric/spiritual metric requires external measurement.,numbered_prefix
Character strength: Social Intelligence,Character Strength: Social Intelligence,conversation_observable,True,low,"Measures the degree of character strength: social intelligence demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of character strength: social intelligence.,Slight evidence of character strength: social intelligence; brief or weak signals.,Moderate character strength: social intelligence; clear but not dominant evidence.,Strong character strength: social intelligence; multiple clear indicators.,Very strong character strength: social intelligence; pervasive and compelling evidence.,,
Bravery,Bravery,conversation_observable,True,low,"Measures the degree of bravery demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of bravery.,Slight evidence of bravery; brief or weak signals.,Moderate bravery; clear but not dominant evidence.,Strong bravery; multiple clear indicators.,Very strong bravery; pervasive and compelling evidence.,,
Childhood Experiences,Childhood Experiences,biographical,False,high,Not directly scoreable from conversation (biographical).,,,,,,Biographical fact requires external information.,
Data-sharing consent level,Data-sharing Consent Level,conversation_observable,True,low,"Measures the degree of data-sharing consent level demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of data-sharing consent level.,Slight evidence of data-sharing consent level; brief or weak signals.,Moderate data-sharing consent level; clear but not dominant evidence.,Strong data-sharing consent level; multiple clear indicators.,Very strong data-sharing consent level; pervasive and compelling evidence.,,
Vision-check frequency,Vision-check Frequency,conversation_observable,True,low,"Measures the degree of vision-check frequency demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of vision-check frequency.,Slight evidence of vision-check frequency; brief or weak signals.,Moderate vision-check frequency; clear but not dominant evidence.,Strong vision-check frequency; multiple clear indicators.,Very strong vision-check frequency; pervasive and compelling evidence.,,
Physical-violence exposure,Physical-violence Exposure,conversation_observable,True,high,"Measures the degree of physical-violence exposure demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of physical-violence exposure.,Slight evidence of physical-violence exposure; brief or weak signals.,Moderate physical-violence exposure; clear but not dominant evidence.,Strong physical-violence exposure; multiple clear indicators.,Very strong physical-violence exposure; pervasive and compelling evidence.,,
Macronutrient ratio: fat,Macronutrient Ratio: Fat,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Cooking and Culinary Arts,Cooking and Culinary Arts,conversation_observable,True,low,"Measures the degree of cooking and culinary arts demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of cooking and culinary arts.,Slight evidence of cooking and culinary arts; brief or weak signals.,Moderate cooking and culinary arts; clear but not dominant evidence.,Strong cooking and culinary arts; multiple clear indicators.,Very strong cooking and culinary arts; pervasive and compelling evidence.,,
Language use,Language Use,conversation_observable,True,low,"Measures the degree of language use demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of language use.,Slight evidence of language use; brief or weak signals.,Moderate language use; clear but not dominant evidence.,Strong language use; multiple clear indicators.,Very strong language use; pervasive and compelling evidence.,,
Dance-style mastery diversity,Dance-style Mastery Diversity,conversation_observable,True,low,"Measures the degree of dance-style mastery diversity demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of dance-style mastery diversity.,Slight evidence of dance-style mastery diversity; brief or weak signals.,Moderate dance-style mastery diversity; clear but not dominant evidence.,Strong dance-style mastery diversity; multiple clear indicators.,Very strong dance-style mastery diversity; pervasive and compelling evidence.,,
Satya Adherence,Satya Adherence,conversation_observable,True,low,"Measures the degree of satya adherence demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of satya adherence.,Slight evidence of satya adherence; brief or weak signals.,Moderate satya adherence; clear but not dominant evidence.,Strong satya adherence; multiple clear indicators.,Very strong satya adherence; pervasive and compelling evidence.,,
Ethnocentrism,Ethnocentrism,conversation_observable,True,low,"Measures the degree of ethnocentrism demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of ethnocentrism.,Slight evidence of ethnocentrism; brief or weak signals.,Moderate ethnocentrism; clear but not dominant evidence.,Strong ethnocentrism; multiple clear indicators.,Very strong ethnocentrism; pervasive and compelling evidence.,,
Emotional Boundaries,Emotional Boundaries,conversation_observable,True,low,"Measures the degree of emotional boundaries demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of emotional boundaries.,Slight evidence of emotional boundaries; brief or weak signals.,Moderate emotional boundaries; clear but not dominant evidence.,Strong emotional boundaries; multiple clear indicators.,Very strong emotional boundaries; pervasive and compelling evidence.,,
